"","site","species","Girth (cm)"
"585",6,"Dolichandrone atrovirens",3.5
"586",6,"Dolichandrone atrovirens",4.1
"587",6,"Dolichandrone atrovirens",3.8
"588",6,"Dolichandrone atrovirens",3
"589",6,"Dolichandrone atrovirens",4
"590",6,"Dolichandrone atrovirens",3.8
"591",6,"Dolichandrone atrovirens",3.5
"592",6,"Dolichandrone atrovirens",3.1
"593",6,"Dolichandrone atrovirens",3.5
"594",6,"Dolichandrone atrovirens",24
"595",6,"Dolichandrone atrovirens",16
"596",6,"Dolichandrone atrovirens",14
"597",6,"Dolichandrone atrovirens",12
"598",6,"Dolichandrone atrovirens",15
"599",6,"Dolichandrone atrovirens",16
"600",6,"Dolichandrone atrovirens",19
"601",6,"Dolichandrone atrovirens",14
"602",6,"Dolichandrone atrovirens",12
"603",6,"Dolichandrone atrovirens",11
"604",6,"Dolichandrone atrovirens",16
"605",6,"Dolichandrone atrovirens",12
"606",6,"Dolichandrone atrovirens",17
"607",6,"Dolichandrone atrovirens",18
"608",6,"Dolichandrone atrovirens",17
"609",6,"Dolichandrone atrovirens",18
"610",6,"Dolichandrone atrovirens",22
"611",6,"Dolichandrone atrovirens",14
"612",6,"Dolichandrone atrovirens",11
"613",6,"Dolichandrone atrovirens",17
"614",6,"Dolichandrone atrovirens",25
"615",6,"Dolichandrone atrovirens",24
"616",6,"Dolichandrone atrovirens",17
"617",7,"Dolichandrone atrovirens",3
"618",7,"Dolichandrone atrovirens",3.5
"619",7,"Dolichandrone atrovirens",4
"620",7,"Dolichandrone atrovirens",4.5
"621",7,"Dolichandrone atrovirens",5
"622",7,"Dolichandrone atrovirens",2
"623",7,"Dodonaea viscosa",2
"624",7,"Dodonaea viscosa",2.5
"625",7,"Dodonaea viscosa",3
"626",7,"Dolichandrone atrovirens",26
"627",7,"Dolichandrone atrovirens",13
"628",7,"Dolichandrone atrovirens",18
"629",7,"Dolichandrone atrovirens",17
"630",7,"Dolichandrone atrovirens",16
"631",7,"Dolichandrone atrovirens",14
"632",7,"Dolichandrone atrovirens",18
"633",7,"Dolichandrone atrovirens",14
"634",7,"Dolichandrone atrovirens",11
"635",7,"Dolichandrone atrovirens",12
"636",7,"Dolichandrone atrovirens",13
"637",7,"Dolichandrone atrovirens",23
"638",7,"Dolichandrone atrovirens",22
"639",7,"Dolichandrone atrovirens",19
"640",7,"Dolichandrone atrovirens",23
"641",7,"Dolichandrone atrovirens",26
"642",7,"Dolichandrone atrovirens",30
"643",7,"Dolichandrone atrovirens",13
"644",7,"Dolichandrone atrovirens",22
"645",7,"Dolichandrone atrovirens",19
